区分,給付可否,要申立書,口座名義_代理人,口座名義_対象者,在留カード（認定請求日時点で有効なもの）,委任状,家族関係確認書類：健康保険被保険者証（表面）（認定請求者が対象者を扶養していることがわかるもの、対象者の住所が記載されているもの）,家族関係確認書類：健康保険被保険者証（裏面）（認定請求者が対象者を扶養していることがわかるもの、対象者の住所が記載されているもの）,家族関係確認書類：住民票の写し（認定請求者と対象者について記載のあるもの）,家族関係確認書類：対象者にかかる医療証（対象者の住所が記載されているもの）,対象者の住民票上の住所を確認できる書類,認定請求者が対象者を健康保険上扶養していることがわかる書類,住民票の写し,戸籍の附票の写し等,住民票の除票の写し等,措置決定通知書,その他の書類
A1-1,○,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×
A1-2,○,×,○,×,×,×,×,×,×,×,×,×,○,×,×,×,×
A1-3,○,×,○,×,×,×,×,×,×,×,×,×,×,○,×,×,×
A1-4,○,×,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×
A1-5,○,×,○,×,×,×,×,×,×,×,×,×,○,○,×,×,×
A1-6,○,×,○,×,×,×,×,×,×,×,×,×,○,×,○,×,×
A1-7,○,×,○,×,×,×,×,×,×,×,×,×,×,○,○,×,×
A1-8,○,×,○,×,×,×,×,×,×,×,×,×,○,○,○,×,×
A2-1,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×
A2-2,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,×,×
A2-3,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,×,×
A2-4,○,○,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×
A2-5,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,×,×
A2-6,○,○,○,×,×,×,×,×,×,×,×,×,○,×,○,×,×
A2-7,○,○,○,×,×,×,×,×,×,×,×,×,×,○,○,×,×
A2-8,○,○,○,×,×,×,×,×,×,×,×,×,○,○,○,×,×
A3-1,○,○,○,×,×,○,○,○,○,○,×,×,×,×,×,×,○
A3-2,○,○,○,×,×,○,○,○,○,○,×,×,○,×,×,×,○
A3-3,○,○,○,×,×,○,○,○,○,○,×,×,×,○,×,×,○
A3-4,○,○,○,×,×,○,○,○,○,○,×,×,×,×,○,×,○
A3-5,○,○,○,×,×,○,○,○,○,○,×,×,○,○,×,×,○
A3-6,○,○,○,×,×,○,○,○,○,○,×,×,○,×,○,×,○
A3-7,○,○,○,×,×,○,○,○,○,○,×,×,×,○,○,×,○
A3-8,○,○,○,×,×,○,○,○,○,○,×,×,○,○,○,×,○
A4-1,○,○,○,×,×,○,○,○,○,○,×,×,×,×,×,×,○
A4-2,○,○,○,×,×,○,○,○,○,○,×,×,○,×,×,×,○
A4-3,○,○,○,×,×,○,○,○,○,○,×,×,×,○,×,×,○
A4-4,○,○,○,×,×,○,○,○,○,○,×,×,×,×,○,×,○
A4-5,○,○,○,×,×,○,○,○,○,○,×,×,○,○,×,×,○
A4-6,○,○,○,×,×,○,○,○,○,○,×,×,○,×,○,×,○
A4-7,○,○,○,×,×,○,○,○,○,○,×,×,×,○,○,×,○
A4-8,○,○,○,×,×,○,○,○,○,○,×,×,○,○,○,×,○
A5-1,○,○,○,×,×,○,○,○,○,○,×,×,×,×,×,×,○
A5-2,○,○,○,×,×,○,○,○,○,○,×,×,○,×,×,×,○
A5-3,○,○,○,×,×,○,○,○,○,○,×,×,×,○,×,×,○
A5-4,○,○,○,×,×,○,○,○,○,○,×,×,×,×,○,×,○
A5-5,○,○,○,×,×,○,○,○,○,○,×,×,○,○,×,×,○
A5-6,○,○,○,×,×,○,○,○,○,○,×,×,○,×,○,×,○
A5-7,○,○,○,×,×,○,○,○,○,○,×,×,×,○,○,×,○
A5-8,○,○,○,×,×,○,○,○,○,○,×,×,○,○,○,×,○
A6-1,○,○,○,×,×,○,○,○,○,○,○,×,×,×,×,×,○
A6-2,○,○,○,×,×,○,○,○,○,○,○,×,○,×,×,×,○
A6-3,○,○,○,×,×,○,○,○,○,○,○,×,×,○,×,×,○
A6-4,○,○,○,×,×,○,○,○,○,○,○,×,×,×,○,×,○
A6-5,○,○,○,×,×,○,○,○,○,○,○,×,○,○,×,×,○
A6-6,○,○,○,×,×,○,○,○,○,○,○,×,○,×,○,×,○
A6-7,○,○,○,×,×,○,○,○,○,○,○,×,×,○,○,×,○
A6-8,○,○,○,×,×,○,○,○,○,○,○,×,○,○,○,×,○
A7-1,○,×,○,×,×,○,○,○,○,○,×,×,×,×,×,×,○
A7-2,○,×,○,×,×,○,○,○,○,○,×,×,○,×,×,×,○
A7-3,○,×,○,×,×,○,○,○,○,○,×,×,×,○,×,×,○
A7-4,○,×,○,×,×,○,○,○,○,○,×,×,×,×,○,×,○
A7-5,○,×,○,×,×,○,○,○,○,○,×,×,○,○,×,×,○
A7-6,○,×,○,×,×,○,○,○,○,○,×,×,○,×,○,×,○
A7-7,○,×,○,×,×,○,○,○,○,○,×,×,×,○,○,×,○
A7-8,○,×,○,×,×,○,○,○,○,○,×,×,○,○,○,×,○
A8-1,○,○,○,×,×,○,○,○,○,○,○,×,×,×,×,×,○
A8-2,○,○,○,×,×,○,○,○,○,○,○,×,○,×,×,×,○
A8-3,○,○,○,×,×,○,○,○,○,○,○,×,×,○,×,×,○
A8-4,○,○,○,×,×,○,○,○,○,○,○,×,×,×,○,×,○
A8-5,○,○,○,×,×,○,○,○,○,○,○,×,○,○,×,×,○
A8-6,○,○,○,×,×,○,○,○,○,○,○,×,○,×,○,×,○
A8-7,○,○,○,×,×,○,○,○,○,○,○,×,×,○,○,×,○
A8-8,○,○,○,×,×,○,○,○,○,○,○,×,○,○,○,×,○
A9-1,○,○,○,×,×,○,○,○,○,○,○,×,×,×,×,×,○
A9-2,○,○,○,×,×,○,○,○,○,○,○,×,○,×,×,×,○
A9-3,○,○,○,×,×,○,○,○,○,○,○,×,×,○,×,×,○
A9-4,○,○,○,×,×,○,○,○,○,○,○,×,×,×,○,×,○
A9-5,○,○,○,×,×,○,○,○,○,○,○,×,○,○,×,×,○
A9-6,○,○,○,×,×,○,○,○,○,○,○,×,○,×,○,×,○
A9-7,○,○,○,×,×,○,○,○,○,○,○,×,×,○,○,×,○
A9-8,○,○,○,×,×,○,○,○,○,○,○,×,○,○,○,×,○
A10-1,○,○,○,×,×,○,○,○,○,○,○,×,×,×,×,×,○
A10-2,○,○,○,×,×,○,○,○,○,○,○,×,○,×,×,×,○
A10-3,○,○,○,×,×,○,○,○,○,○,○,×,×,○,×,×,○
A10-4,○,○,○,×,×,○,○,○,○,○,○,×,×,×,○,×,○
A10-5,○,○,○,×,×,○,○,○,○,○,○,×,○,○,×,×,○
A10-6,○,○,○,×,×,○,○,○,○,○,○,×,○,×,○,×,○
A10-7,○,○,○,×,×,○,○,○,○,○,○,×,×,○,○,×,○
A10-8,○,○,○,×,×,○,○,○,○,○,○,×,○,○,○,×,○
A11-1,○,○,○,×,×,○,×,×,×,×,×,×,×,×,×,×,○
A11-2,○,○,○,×,×,○,×,×,×,×,×,×,○,×,×,×,○
A11-3,○,○,○,×,×,○,×,×,×,×,×,×,×,○,×,×,○
A11-4,○,○,○,×,×,○,×,×,×,×,×,×,×,×,○,×,○
A11-5,○,○,○,×,×,○,×,×,×,×,×,×,○,○,×,×,○
A11-6,○,○,○,×,×,○,×,×,×,×,×,×,○,×,○,×,○
A11-7,○,○,○,×,×,○,×,×,×,×,×,×,×,○,○,×,○
A11-8,○,○,○,×,×,○,×,×,×,×,×,×,○,○,○,×,○
A12-1,○,○,○,×,×,○,×,×,×,×,×,×,×,×,×,×,○
A12-2,○,○,○,×,×,○,×,×,×,×,×,×,○,×,×,×,○
A12-3,○,○,○,×,×,○,×,×,×,×,×,×,×,○,×,×,○
A12-4,○,○,○,×,×,○,×,×,×,×,×,×,×,×,○,×,○
A12-5,○,○,○,×,×,○,×,×,×,×,×,×,○,○,×,×,○
A12-6,○,○,○,×,×,○,×,×,×,×,×,×,○,×,○,×,○
A12-7,○,○,○,×,×,○,×,×,×,×,×,×,×,○,○,×,○
A12-8,○,○,○,×,×,○,×,×,×,×,×,×,○,○,○,×,○
A13-1,○,○,○,×,×,○,×,×,×,×,×,×,×,×,×,×,○
A13-2,○,○,○,×,×,○,×,×,×,×,×,×,○,×,×,×,○
A13-3,○,○,○,×,×,○,×,×,×,×,×,×,×,○,×,×,○
A13-4,○,○,○,×,×,○,×,×,×,×,×,×,×,×,○,×,○
A13-5,○,○,○,×,×,○,×,×,×,×,×,×,○,○,×,×,○
A13-6,○,○,○,×,×,○,×,×,×,×,×,×,○,×,○,×,○
A13-7,○,○,○,×,×,○,×,×,×,×,×,×,×,○,○,×,○
A13-8,○,○,○,×,×,○,×,×,×,×,×,×,○,○,○,×,○
A14-1,○,○,○,×,×,○,×,×,×,×,×,×,×,×,×,×,○
A14-2,○,○,○,×,×,○,×,×,×,×,×,×,○,×,×,×,○
A14-3,○,○,○,×,×,○,×,×,×,×,×,×,×,○,×,×,○
A14-4,○,○,○,×,×,○,×,×,×,×,×,×,×,×,○,×,○
A14-5,○,○,○,×,×,○,×,×,×,×,×,×,○,○,×,×,○
A14-6,○,○,○,×,×,○,×,×,×,×,×,×,○,×,○,×,○
A14-7,○,○,○,×,×,○,×,×,×,×,×,×,×,○,○,×,○
A14-8,○,○,○,×,×,○,×,×,×,×,×,×,○,○,○,×,○
A15-1,○,○,○,×,×,○,×,×,×,×,×,×,×,×,×,×,○
A15-2,○,○,○,×,×,○,×,×,×,×,×,×,○,×,×,×,○
A15-3,○,○,○,×,×,○,×,×,×,×,×,×,×,○,×,×,○
A15-4,○,○,○,×,×,○,×,×,×,×,×,×,×,×,○,×,○
A15-5,○,○,○,×,×,○,×,×,×,×,×,×,○,○,×,×,○
A15-6,○,○,○,×,×,○,×,×,×,×,×,×,○,×,○,×,○
A15-7,○,○,○,×,×,○,×,×,×,×,×,×,×,○,○,×,○
A15-8,○,○,○,×,×,○,×,×,×,×,×,×,○,○,○,×,○
A16-1,○,○,○,×,×,○,×,×,×,×,×,×,×,×,×,×,○
A16-2,○,○,○,×,×,○,×,×,×,×,×,×,○,×,×,×,○
A16-3,○,○,○,×,×,○,×,×,×,×,×,×,×,○,×,×,○
A16-4,○,○,○,×,×,○,×,×,×,×,×,×,×,×,○,×,○
A16-5,○,○,○,×,×,○,×,×,×,×,×,×,○,○,×,×,○
A16-6,○,○,○,×,×,○,×,×,×,×,×,×,○,×,○,×,○
A16-7,○,○,○,×,×,○,×,×,×,×,×,×,×,○,○,×,○
A16-8,○,○,○,×,×,○,×,×,×,×,×,×,○,○,○,×,○
A17-1,○,○,○,×,×,○,×,×,×,×,×,×,×,×,×,×,○
A17-2,○,○,○,×,×,○,×,×,×,×,×,×,○,×,×,×,○
A17-3,○,○,○,×,×,○,×,×,×,×,×,×,×,○,×,×,○
A17-4,○,○,○,×,×,○,×,×,×,×,×,×,×,×,○,×,○
A17-5,○,○,○,×,×,○,×,×,×,×,×,×,○,○,×,×,○
A17-6,○,○,○,×,×,○,×,×,×,×,×,×,○,×,○,×,○
A17-7,○,○,○,×,×,○,×,×,×,×,×,×,×,○,○,×,○
A17-8,○,○,○,×,×,○,×,×,×,×,×,×,○,○,○,×,○
A18-1,○,○,○,×,×,○,×,×,×,×,×,×,×,×,×,×,○
A18-2,○,○,○,×,×,○,×,×,×,×,×,×,○,×,×,×,○
A18-3,○,○,○,×,×,○,×,×,×,×,×,×,×,○,×,×,○
A18-4,○,○,○,×,×,○,×,×,×,×,×,×,×,×,○,×,○
A18-5,○,○,○,×,×,○,×,×,×,×,×,×,○,○,×,×,○
A18-6,○,○,○,×,×,○,×,×,×,×,×,×,○,×,○,×,○
A18-7,○,○,○,×,×,○,×,×,×,×,×,×,×,○,○,×,○
A18-8,○,○,○,×,×,○,×,×,×,×,×,×,○,○,○,×,○
A19-1,○,○,○,×,×,○,×,×,×,×,×,×,×,×,×,×,○
A19-2,○,○,○,×,×,○,×,×,×,×,×,×,○,×,×,×,○
A19-3,○,○,○,×,×,○,×,×,×,×,×,×,×,○,×,×,○
A19-4,○,○,○,×,×,○,×,×,×,×,×,×,×,×,○,×,○
A19-5,○,○,○,×,×,○,×,×,×,×,×,×,○,○,×,×,○
A19-6,○,○,○,×,×,○,×,×,×,×,×,×,○,×,○,×,○
A19-7,○,○,○,×,×,○,×,×,×,×,×,×,×,○,○,×,○
A19-8,○,○,○,×,×,○,×,×,×,×,×,×,○,○,○,×,○
A20-1,○,○,○,×,×,○,×,×,×,×,×,×,×,×,×,×,○
A20-2,○,○,○,×,×,○,×,×,×,×,×,×,○,×,×,×,○
A20-3,○,○,○,×,×,○,×,×,×,×,×,×,×,○,×,×,○
A20-4,○,○,○,×,×,○,×,×,×,×,×,×,×,×,○,×,○
A20-5,○,○,○,×,×,○,×,×,×,×,×,×,○,○,×,×,○
A20-6,○,○,○,×,×,○,×,×,×,×,×,×,○,×,○,×,○
A20-7,○,○,○,×,×,○,×,×,×,×,×,×,×,○,○,×,○
A20-8,○,○,○,×,×,○,×,×,×,×,×,×,○,○,○,×,○
A21-1,○,○,○,×,×,○,×,×,×,×,×,×,×,×,×,×,○
A21-2,○,○,○,×,×,○,×,×,×,×,×,×,○,×,×,×,○
A21-3,○,○,○,×,×,○,×,×,×,×,×,×,×,○,×,×,○
A21-4,○,○,○,×,×,○,×,×,×,×,×,×,×,×,○,×,○
A21-5,○,○,○,×,×,○,×,×,×,×,×,×,○,○,×,×,○
A21-6,○,○,○,×,×,○,×,×,×,×,×,×,○,×,○,×,○
A21-7,○,○,○,×,×,○,×,×,×,×,×,×,×,○,○,×,○
A21-8,○,○,○,×,×,○,×,×,×,×,×,×,○,○,○,×,○
A22-1,○,×,○,×,×,○,×,×,×,×,×,×,×,×,×,×,○
A22-2,○,×,○,×,×,○,×,×,×,×,×,×,○,×,×,×,○
A22-3,○,×,○,×,×,○,×,×,×,×,×,×,×,○,×,×,○
A22-4,○,×,○,×,×,○,×,×,×,×,×,×,×,×,○,×,○
A22-5,○,×,○,×,×,○,×,×,×,×,×,×,○,○,×,×,○
A22-6,○,×,○,×,×,○,×,×,×,×,×,×,○,×,○,×,○
A22-7,○,×,○,×,×,○,×,×,×,×,×,×,×,○,○,×,○
A22-8,○,×,○,×,×,○,×,×,×,×,×,×,○,○,○,×,○
A23-1,○,○,○,○,×,×,○,○,○,○,×,×,×,×,×,×,○
A23-2,○,○,○,○,×,×,○,○,○,○,×,×,○,×,×,×,○
A23-3,○,○,○,○,×,×,○,○,○,○,×,×,×,○,×,×,○
A23-4,○,○,○,○,×,×,○,○,○,○,×,×,×,×,○,×,○
A23-5,○,○,○,○,×,×,○,○,○,○,×,×,○,○,×,×,○
A23-6,○,○,○,○,×,×,○,○,○,○,×,×,○,×,○,×,○
A23-7,○,○,○,○,×,×,○,○,○,○,×,×,×,○,○,×,○
A23-8,○,○,○,○,×,×,○,○,○,○,×,×,○,○,○,×,○
A24-1,○,○,○,○,×,×,○,○,○,○,×,×,×,×,×,×,○
A24-2,○,○,○,○,×,×,○,○,○,○,×,×,○,×,×,×,○
A24-3,○,○,○,○,×,×,○,○,○,○,×,×,×,○,×,×,○
A24-4,○,○,○,○,×,×,○,○,○,○,×,×,×,×,○,×,○
A24-5,○,○,○,○,×,×,○,○,○,○,×,×,○,○,×,×,○
A24-6,○,○,○,○,×,×,○,○,○,○,×,×,○,×,○,×,○
A24-7,○,○,○,○,×,×,○,○,○,○,×,×,×,○,○,×,○
A24-8,○,○,○,○,×,×,○,○,○,○,×,×,○,○,○,×,○
A25-1,○,○,○,○,×,×,○,○,○,○,×,×,×,×,×,×,○
A25-2,○,○,○,○,×,×,○,○,○,○,×,×,○,×,×,×,○
A25-3,○,○,○,○,×,×,○,○,○,○,×,×,×,○,×,×,○
A25-4,○,○,○,○,×,×,○,○,○,○,×,×,×,×,○,×,○
A25-5,○,○,○,○,×,×,○,○,○,○,×,×,○,○,×,×,○
A25-6,○,○,○,○,×,×,○,○,○,○,×,×,○,×,○,×,○
A25-7,○,○,○,○,×,×,○,○,○,○,×,×,×,○,○,×,○
A25-8,○,○,○,○,×,×,○,○,○,○,×,×,○,○,○,×,○
A26-1,○,○,○,○,×,×,○,○,○,○,○,×,×,×,×,×,○
A26-2,○,○,○,○,×,×,○,○,○,○,○,×,○,×,×,×,○
A26-3,○,○,○,○,×,×,○,○,○,○,○,×,×,○,×,×,○
A26-4,○,○,○,○,×,×,○,○,○,○,○,×,×,×,○,×,○
A26-5,○,○,○,○,×,×,○,○,○,○,○,×,○,○,×,×,○
A26-6,○,○,○,○,×,×,○,○,○,○,○,×,○,×,○,×,○
A26-7,○,○,○,○,×,×,○,○,○,○,○,×,×,○,○,×,○
A26-8,○,○,○,○,×,×,○,○,○,○,○,×,○,○,○,×,○
A27-1,○,×,○,○,×,×,○,○,○,○,×,×,×,×,×,×,○
A27-2,○,×,○,○,×,×,○,○,○,○,×,×,○,×,×,×,○
A27-3,○,×,○,○,×,×,○,○,○,○,×,×,×,○,×,×,○
A27-4,○,×,○,○,×,×,○,○,○,○,×,×,×,×,○,×,○
A27-5,○,×,○,○,×,×,○,○,○,○,×,×,○,○,×,×,○
A27-6,○,×,○,○,×,×,○,○,○,○,×,×,○,×,○,×,○
A27-7,○,×,○,○,×,×,○,○,○,○,×,×,×,○,○,×,○
A27-8,○,×,○,○,×,×,○,○,○,○,×,×,○,○,○,×,○
A28-1,○,○,○,○,×,×,○,○,○,○,○,×,×,×,×,×,○
A28-2,○,○,○,○,×,×,○,○,○,○,○,×,○,×,×,×,○
A28-3,○,○,○,○,×,×,○,○,○,○,○,×,×,○,×,×,○
A28-4,○,○,○,○,×,×,○,○,○,○,○,×,×,×,○,×,○
A28-5,○,○,○,○,×,×,○,○,○,○,○,×,○,○,×,×,○
A28-6,○,○,○,○,×,×,○,○,○,○,○,×,○,×,○,×,○
A28-7,○,○,○,○,×,×,○,○,○,○,○,×,×,○,○,×,○
A28-8,○,○,○,○,×,×,○,○,○,○,○,×,○,○,○,×,○
A29-1,○,○,○,○,×,×,○,○,○,○,○,×,×,×,×,×,○
A29-2,○,○,○,○,×,×,○,○,○,○,○,×,○,×,×,×,○
A29-3,○,○,○,○,×,×,○,○,○,○,○,×,×,○,×,×,○
A29-4,○,○,○,○,×,×,○,○,○,○,○,×,×,×,○,×,○
A29-5,○,○,○,○,×,×,○,○,○,○,○,×,○,○,×,×,○
A29-6,○,○,○,○,×,×,○,○,○,○,○,×,○,×,○,×,○
A29-7,○,○,○,○,×,×,○,○,○,○,○,×,×,○,○,×,○
A29-8,○,○,○,○,×,×,○,○,○,○,○,×,○,○,○,×,○
A30-1,○,○,○,○,×,×,○,○,○,○,○,×,×,×,×,×,○
A30-2,○,○,○,○,×,×,○,○,○,○,○,×,○,×,×,×,○
A30-3,○,○,○,○,×,×,○,○,○,○,○,×,×,○,×,×,○
A30-4,○,○,○,○,×,×,○,○,○,○,○,×,×,×,○,×,○
A30-5,○,○,○,○,×,×,○,○,○,○,○,×,○,○,×,×,○
A30-6,○,○,○,○,×,×,○,○,○,○,○,×,○,×,○,×,○
A30-7,○,○,○,○,×,×,○,○,○,○,○,×,×,○,○,×,○
A30-8,○,○,○,○,×,×,○,○,○,○,○,×,○,○,○,×,○
A31-1,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,○
A31-2,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,×,○
A31-3,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,○
A31-4,○,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,○
A31-5,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,×,○
A31-6,○,○,○,○,×,×,×,×,×,×,×,×,○,×,○,×,○
A31-7,○,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,○
A31-8,○,○,○,○,×,×,×,×,×,×,×,×,○,○,○,×,○
A32-1,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,○
A32-2,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,×,○
A32-3,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,○
A32-4,○,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,○
A32-5,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,×,○
A32-6,○,○,○,○,×,×,×,×,×,×,×,×,○,×,○,×,○
A32-7,○,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,○
A32-8,○,○,○,○,×,×,×,×,×,×,×,×,○,○,○,×,○
A33-1,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,○
A33-2,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,×,○
A33-3,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,○
A33-4,○,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,○
A33-5,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,×,○
A33-6,○,○,○,○,×,×,×,×,×,×,×,×,○,×,○,×,○
A33-7,○,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,○
A33-8,○,○,○,○,×,×,×,×,×,×,×,×,○,○,○,×,○
A34-1,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,○
A34-2,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,×,○
A34-3,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,○
A34-4,○,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,○
A34-5,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,×,○
A34-6,○,○,○,○,×,×,×,×,×,×,×,×,○,×,○,×,○
A34-7,○,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,○
A34-8,○,○,○,○,×,×,×,×,×,×,×,×,○,○,○,×,○
A35-1,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,○
A35-2,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,×,○
A35-3,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,○
A35-4,○,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,○
A35-5,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,×,○
A35-6,○,○,○,○,×,×,×,×,×,×,×,×,○,×,○,×,○
A35-7,○,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,○
A35-8,○,○,○,○,×,×,×,×,×,×,×,×,○,○,○,×,○
A36-1,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,○
A36-2,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,×,○
A36-3,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,○
A36-4,○,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,○
A36-5,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,×,○
A36-6,○,○,○,○,×,×,×,×,×,×,×,×,○,×,○,×,○
A36-7,○,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,○
A36-8,○,○,○,○,×,×,×,×,×,×,×,×,○,○,○,×,○
A37-1,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,○
A37-2,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,×,○
A37-3,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,○
A37-4,○,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,○
A37-5,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,×,○
A37-6,○,○,○,○,×,×,×,×,×,×,×,×,○,×,○,×,○
A37-7,○,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,○
A37-8,○,○,○,○,×,×,×,×,×,×,×,×,○,○,○,×,○
A38-1,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,○
A38-2,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,×,○
A38-3,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,○
A38-4,○,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,○
A38-5,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,×,○
A38-6,○,○,○,○,×,×,×,×,×,×,×,×,○,×,○,×,○
A38-7,○,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,○
A38-8,○,○,○,○,×,×,×,×,×,×,×,×,○,○,○,×,○
A39-1,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,○
A39-2,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,×,○
A39-3,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,○
A39-4,○,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,○
A39-5,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,×,○
A39-6,○,○,○,○,×,×,×,×,×,×,×,×,○,×,○,×,○
A39-7,○,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,○
A39-8,○,○,○,○,×,×,×,×,×,×,×,×,○,○,○,×,○
A40-1,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,○
A40-2,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,×,○
A40-3,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,○
A40-4,○,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,○
A40-5,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,×,○
A40-6,○,○,○,○,×,×,×,×,×,×,×,×,○,×,○,×,○
A40-7,○,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,○
A40-8,○,○,○,○,×,×,×,×,×,×,×,×,○,○,○,×,○
A41-1,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,○
A41-2,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,×,○
A41-3,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,○
A41-4,○,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,○
A41-5,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,×,○
A41-6,○,○,○,○,×,×,×,×,×,×,×,×,○,×,○,×,○
A41-7,○,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,○
A41-8,○,○,○,○,×,×,×,×,×,×,×,×,○,○,○,×,○
A42-1,○,×,○,○,×,×,×,×,×,×,×,×,×,×,×,×,○
A42-2,○,×,○,○,×,×,×,×,×,×,×,×,○,×,×,×,○
A42-3,○,×,○,○,×,×,×,×,×,×,×,×,×,○,×,×,○
A42-4,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○,×,○
A42-5,○,×,○,○,×,×,×,×,×,×,×,×,○,○,×,×,○
A42-6,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○,×,○
A42-7,○,×,○,○,×,×,×,×,×,×,×,×,×,○,○,×,○
A42-8,○,×,○,○,×,×,×,×,×,×,×,×,○,○,○,×,○
A43-1,○,×,○,×,○,×,×,×,×,×,×,×,×,×,×,×,○
A43-2,○,×,○,×,○,×,×,×,×,×,×,×,○,×,×,×,○
A43-3,○,×,○,×,○,×,×,×,×,×,×,×,×,○,×,×,○
A43-4,○,×,○,×,○,×,×,×,×,×,×,×,×,×,○,×,○
A43-5,○,×,○,×,○,×,×,×,×,×,×,×,○,○,×,×,○
A43-6,○,×,○,×,○,×,×,×,×,×,×,×,○,×,○,×,○
A43-7,○,×,○,×,○,×,×,×,×,×,×,×,×,○,○,×,○
A43-8,○,×,○,×,○,×,×,×,×,×,×,×,○,○,○,×,○
A44-1,○,○,○,×,○,×,×,×,×,×,×,×,×,×,×,×,○
A44-2,○,○,○,×,○,×,×,×,×,×,×,×,○,×,×,×,○
A44-3,○,○,○,×,○,×,×,×,×,×,×,×,×,○,×,×,○
A44-4,○,○,○,×,○,×,×,×,×,×,×,×,×,×,○,×,○
A44-5,○,○,○,×,○,×,×,×,×,×,×,×,○,○,×,×,○
A44-6,○,○,○,×,○,×,×,×,×,×,×,×,○,×,○,×,○
